HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N3.HOG0000000	OG0000000	n1		WP_226803214.1	WP_102338502.1		
N3.HOG0000001	OG0000000	n8		WP_152063499.1	WP_234346283.1		
N3.HOG0000002	OG0000000	n11		WP_152063539.1	WP_102338269.1		
N3.HOG0000003	OG0000000	n14		WP_152062772.1	WP_199824882.1		
N3.HOG0000004	OG0000000	n17		WP_152063471.1	WP_102338104.1		
N3.HOG0000005	OG0000000	n20		WP_152062773.1	WP_234346259.1		
N3.HOG0000006	OG0000000	n23		WP_193221201.1	WP_102338268.1		
N3.HOG0000007	OG0000000	n26		WP_193221195.1	WP_102338152.1		
N3.HOG0000008	OG0000000	n28		WP_152063060.1	WP_102337401.1		
N3.HOG0000009	OG0000001	n1		WP_152062722.1	WP_102338223.1		
N3.HOG0000010	OG0000001	n6		WP_152062955.1	WP_102338488.1		
N3.HOG0000011	OG0000001	n9		WP_152063434.1	WP_102338492.1		
N3.HOG0000012	OG0000001	n12		WP_193221128.1			
N3.HOG0000013	OG0000001	n14		WP_152063859.1	WP_234346364.1		
N3.HOG0000014	OG0000001	n18		WP_193221233.1			
N3.HOG0000015	OG0000001	n24		WP_152062998.1			
N3.HOG0000016	OG0000002	n2		WP_039910579.1			
N3.HOG0000017	OG0000002	n5			WP_102338115.1		
N3.HOG0000018	OG0000002	n9		WP_118271855.1	WP_102338631.1		
N3.HOG0000019	OG0000002	n17		WP_152063347.1			
N3.HOG0000020	OG0000002	n20		WP_039910684.1	WP_102338300.1		
N3.HOG0000021	OG0000002	n22		WP_152063430.1, WP_226803317.1			
N3.HOG0000022	OG0000002	n24		WP_039910408.1	WP_102338059.1		
N3.HOG0000023	OG0000003	n5			WP_102337299.1		
N3.HOG0000024	OG0000003	n10		WP_152063020.1			
N3.HOG0000025	OG0000003	n19			WP_199824816.1, WP_159060018.1		
N3.HOG0000026	OG0000005	n7		WP_226803352.1, WP_152063801.1			
N3.HOG0000027	OG0000005	n9		WP_152063280.1, WP_152063576.1	WP_102337688.1		
N3.HOG0000028	OG0000005	n12		WP_152062718.1	WP_102337713.1		
N3.HOG0000029	OG0000006	n1		WP_152062911.1	WP_102338098.1, WP_102338217.1		
N3.HOG0000030	OG0000006	n6		WP_152062917.1	WP_102337674.1		
N3.HOG0000031	OG0000006	n10			WP_102337679.1, WP_102337821.1, WP_234346182.1		
N3.HOG0000032	OG0000007	n1			WP_102337675.1		
N3.HOG0000033	OG0000007	n4			WP_102338221.1, WP_234346271.1		
N3.HOG0000034	OG0000007	n8			WP_159060083.1, WP_102338167.1		
N3.HOG0000035	OG0000007	n12			WP_102338021.1		
N3.HOG0000036	OG0000007	n13		WP_226803188.1	WP_102338241.1		
N3.HOG0000037	OG0000008	n1		WP_152062938.1	WP_102337648.1		
N3.HOG0000038	OG0000008	n6		WP_152062763.1	WP_102337607.1		
N3.HOG0000039	OG0000008	n13		WP_152062873.1	WP_234346204.1		
N3.HOG0000040	OG0000008	n14		WP_152063528.1	WP_102338289.1		
N3.HOG0000041	OG0000011	n1		WP_152062920.1	WP_102337676.1, WP_102337671.1		
N3.HOG0000042	OG0000011	n5			WP_102338220.1, WP_102338096.1		
N3.HOG0000043	OG0000011	n7		WP_152063569.1	WP_102338240.1, WP_102338166.1, WP_102338022.1		
N3.HOG0000044	OG0000011	n11		WP_152062915.1	WP_102337824.1		
N3.HOG0000045	OG0000012	n1			WP_159060071.1		
N3.HOG0000046	OG0000012	n3		WP_193221139.1	WP_159060082.1		
N3.HOG0000047	OG0000012	n5		WP_152063584.1			
N3.HOG0000048	OG0000012	n8			WP_102338315.1		
N3.HOG0000049	OG0000012	n9			WP_159060012.1		
N3.HOG0000050	OG0000013	n1		WP_152063856.1	WP_234346375.1		
N3.HOG0000051	OG0000013	n6		WP_006722406.1			
N3.HOG0000052	OG0000013	n9		WP_226803286.1			
N3.HOG0000053	OG0000014	n3			WP_102337818.1		
N3.HOG0000054	OG0000014	n6			WP_234346215.1		
N3.HOG0000055	OG0000014	n7			WP_157966984.1		
N3.HOG0000056	OG0000014	n8			WP_102338452.1		
N3.HOG0000057	OG0000015	n1		WP_152062919.1	WP_102337825.1, WP_102337672.1		
N3.HOG0000058	OG0000015	n3		WP_152062913.1	WP_102338219.1, WP_102338097.1, WP_102338239.1, WP_159060070.1, WP_102338428.1, WP_102337677.1		
N3.HOG0000059	OG0000016	n4			WP_102338214.1, WP_102338066.1		
N3.HOG0000060	OG0000016	n6			WP_102337924.1, WP_102337970.1		
N3.HOG0000061	OG0000016	n8			WP_159060060.1		
N3.HOG0000062	OG0000016	n9		WP_006722889.1	WP_102337285.1		
N3.HOG0000063	OG0000017	n1		WP_152063340.1	WP_199824895.1		
N3.HOG0000064	OG0000018	n0		WP_006723532.1			
N3.HOG0000065	OG0000019	n1			WP_102337878.1		
N3.HOG0000066	OG0000019	n2			WP_102337899.1		
N3.HOG0000067	OG0000020	n1		WP_152063689.1	WP_102337790.1		
N3.HOG0000068	OG0000020	n5		WP_152062836.1	WP_102338001.1		
N3.HOG0000069	OG0000022	n3		WP_152062854.1	WP_102338397.1		
N3.HOG0000070	OG0000022	n5		WP_226803184.1	WP_102337694.1		
N3.HOG0000071	OG0000023	n1		WP_152063590.1	WP_102338351.1		
N3.HOG0000072	OG0000023	n6			WP_199824849.1		
N3.HOG0000073	OG0000023	n8			WP_102337337.1		
