HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N2.HOG0000000	OG0000000	n1	WP_124786514.1	WP_226803214.1	WP_102338502.1		
N2.HOG0000001	OG0000000	n8	WP_124786625.1	WP_152063499.1	WP_234346283.1		
N2.HOG0000002	OG0000000	n11	WP_124786617.1	WP_152063539.1	WP_102338269.1		
N2.HOG0000003	OG0000000	n14	WP_117773874.1	WP_152062772.1	WP_199824882.1		
N2.HOG0000004	OG0000000	n17	WP_124785716.1	WP_152063471.1	WP_102338104.1		
N2.HOG0000005	OG0000000	n20	WP_117773875.1	WP_152062773.1	WP_234346259.1		
N2.HOG0000006	OG0000000	n23	WP_124786618.1	WP_193221201.1	WP_102338268.1		
N2.HOG0000007	OG0000000	n26	WP_124786626.1	WP_193221195.1	WP_102338152.1		
N2.HOG0000008	OG0000000	n28	WP_124786513.1	WP_152063060.1	WP_102337401.1		
N2.HOG0000009	OG0000001	n1	WP_206428141.1	WP_152062722.1	WP_102338223.1		
N2.HOG0000010	OG0000001	n6	WP_124786383.1	WP_152062955.1	WP_102338488.1		
N2.HOG0000011	OG0000001	n9	WP_055252429.1	WP_152063434.1	WP_102338492.1		
N2.HOG0000012	OG0000001	n12	WP_171021474.1	WP_193221128.1			
N2.HOG0000013	OG0000001	n14	WP_148315663.1	WP_152063859.1	WP_234346364.1		
N2.HOG0000014	OG0000001	n18	WP_241154626.1, WP_164473283.1, WP_158558586.1, WP_035137759.1, WP_055250122.1, WP_089573263.1	WP_193221233.1			
N2.HOG0000015	OG0000001	n24	WP_117584246.1	WP_152062998.1			
N2.HOG0000016	OG0000002	n2	WP_124786504.1	WP_039910579.1			
N2.HOG0000017	OG0000002	n5	WP_117772844.1		WP_102338115.1		
N2.HOG0000018	OG0000002	n9	WP_089572665.1	WP_118271855.1	WP_102338631.1		
N2.HOG0000019	OG0000002	n17	WP_206428096.1	WP_152063347.1			
N2.HOG0000020	OG0000002	n20	WP_124785856.1	WP_039910684.1	WP_102338300.1		
N2.HOG0000021	OG0000002	n22	WP_055250129.1	WP_152063430.1, WP_226803317.1			
N2.HOG0000022	OG0000002	n24	WP_006236208.1	WP_039910408.1	WP_102338059.1		
N2.HOG0000023	OG0000003	n3	WP_164473294.1				
N2.HOG0000024	OG0000003	n4	WP_124786103.1				
N2.HOG0000025	OG0000003	n5			WP_102337299.1		
N2.HOG0000026	OG0000003	n9	WP_124786265.1				
N2.HOG0000027	OG0000003	n10	WP_124786013.1	WP_152063020.1			
N2.HOG0000028	OG0000003	n17	WP_117772957.1, WP_117772953.1				
N2.HOG0000029	OG0000003	n19	WP_124786183.1		WP_199824816.1, WP_159060018.1		
N2.HOG0000030	OG0000004	n0	WP_117584077.1, WP_022095206.1				
N2.HOG0000031	OG0000005	n7		WP_226803352.1, WP_152063801.1			
N2.HOG0000032	OG0000005	n9	WP_124786548.1	WP_152063280.1, WP_152063576.1	WP_102337688.1		
N2.HOG0000033	OG0000005	n12	WP_117773004.1, WP_124785713.1, WP_124785914.1	WP_152062718.1	WP_102337713.1		
N2.HOG0000034	OG0000006	n1	WP_118066177.1, WP_117563729.1	WP_152062911.1	WP_102338098.1, WP_102338217.1		
N2.HOG0000035	OG0000006	n6	WP_124785819.1, WP_117776443.1, WP_118258625.1	WP_152062917.1	WP_102337674.1		
N2.HOG0000036	OG0000006	n10	WP_089573620.1, WP_124786370.1, WP_117799801.1		WP_102337679.1, WP_102337821.1, WP_234346182.1		
N2.HOG0000037	OG0000007	n1	WP_124786573.1		WP_102337675.1		
N2.HOG0000038	OG0000007	n4	WP_124785815.1		WP_102338221.1, WP_234346271.1		
N2.HOG0000039	OG0000007	n8	WP_117862213.1, WP_124786001.1		WP_159060083.1, WP_102338167.1		
N2.HOG0000040	OG0000007	n12	WP_117839968.1		WP_102338021.1		
N2.HOG0000041	OG0000007	n13	WP_192924133.1	WP_226803188.1	WP_102338241.1		
N2.HOG0000042	OG0000008	n1	WP_124786342.1	WP_152062938.1	WP_102337648.1		
N2.HOG0000043	OG0000008	n6	WP_117840353.1	WP_152062763.1	WP_102337607.1		
N2.HOG0000044	OG0000008	n9	WP_124785974.1	WP_152062873.1, WP_152063528.1	WP_234346204.1, WP_102338289.1		
N2.HOG0000045	OG0000009	n0	WP_117840575.1				
N2.HOG0000046	OG0000011	n1	WP_124786574.1	WP_152062920.1	WP_102337676.1, WP_102337671.1		
N2.HOG0000047	OG0000011	n5			WP_102338220.1, WP_102338096.1		
N2.HOG0000048	OG0000011	n7	WP_118345060.1	WP_152063569.1	WP_102338240.1, WP_102338166.1, WP_102338022.1		
N2.HOG0000049	OG0000011	n11	WP_117563725.1	WP_152062915.1	WP_102337824.1		
N2.HOG0000050	OG0000012	n1			WP_159060071.1		
N2.HOG0000051	OG0000012	n3		WP_193221139.1	WP_159060082.1		
N2.HOG0000052	OG0000012	n5		WP_152063584.1			
N2.HOG0000053	OG0000012	n8	WP_124785840.1		WP_102338315.1		
N2.HOG0000054	OG0000012	n9	WP_089573344.1, WP_124786170.1, WP_124786079.1		WP_159060012.1		
N2.HOG0000055	OG0000013	n1	WP_206428106.1	WP_152063856.1	WP_234346375.1		
N2.HOG0000056	OG0000013	n6	WP_117776691.1	WP_006722406.1			
N2.HOG0000057	OG0000013	n8	WP_118935355.1				
N2.HOG0000058	OG0000013	n9	WP_197032117.1	WP_226803286.1			
N2.HOG0000059	OG0000014	n3			WP_102337818.1		
N2.HOG0000060	OG0000014	n6			WP_234346215.1		
N2.HOG0000061	OG0000014	n7			WP_157966984.1		
N2.HOG0000062	OG0000014	n8	WP_124786633.1		WP_102338452.1		
N2.HOG0000063	OG0000015	n0	WP_117634363.1, WP_099432278.1	WP_152062919.1, WP_152062913.1	WP_102337825.1, WP_102337672.1, WP_102338219.1, WP_102338097.1, WP_102338239.1, WP_159060070.1, WP_102338428.1, WP_102337677.1		
N2.HOG0000064	OG0000016	n4	WP_124785880.1		WP_102338214.1, WP_102338066.1		
N2.HOG0000065	OG0000016	n6	WP_117773361.1		WP_102337924.1, WP_102337970.1		
N2.HOG0000066	OG0000016	n8	WP_158558636.1		WP_159060060.1		
N2.HOG0000067	OG0000016	n9	WP_124786075.1	WP_006722889.1	WP_102337285.1		
N2.HOG0000068	OG0000017	n1	WP_124786414.1	WP_152063340.1	WP_199824895.1		
N2.HOG0000069	OG0000017	n7	WP_117786325.1				
N2.HOG0000070	OG0000018	n0		WP_006723532.1			
N2.HOG0000071	OG0000019	n1	WP_124786309.1		WP_102337878.1		
N2.HOG0000072	OG0000019	n2	WP_206428112.1, WP_124786510.1, WP_124786369.1, WP_117773337.1, WP_117563518.1, WP_124785746.1, WP_164473266.1, WP_241154632.1		WP_102337899.1		
N2.HOG0000073	OG0000020	n1	WP_117840011.1	WP_152063689.1	WP_102337790.1		
N2.HOG0000074	OG0000020	n5	WP_124785761.1	WP_152062836.1	WP_102338001.1		
N2.HOG0000075	OG0000022	n3	WP_117647594.1	WP_152062854.1	WP_102338397.1		
N2.HOG0000076	OG0000022	n5	WP_118335365.1, WP_118335363.1	WP_226803184.1	WP_102337694.1		
N2.HOG0000077	OG0000023	n1	WP_117756883.1	WP_152063590.1	WP_102338351.1		
N2.HOG0000078	OG0000023	n6	WP_199569324.1		WP_199824849.1		
N2.HOG0000079	OG0000023	n8	WP_124786351.1		WP_102337337.1		
N2.HOG0000080	OG0000024	n1	WP_124786433.1				
N2.HOG0000081	OG0000024	n2	WP_117840579.1				
N2.HOG0000082	OG0000025	n1		WP_226803228.1			
N2.HOG0000083	OG0000025	n4	WP_124785719.1	WP_226803165.1	WP_234346262.1		
N2.HOG0000084	OG0000026	n1	WP_124785981.1	WP_152062855.1	WP_102338435.1		
N2.HOG0000085	OG0000026	n5	WP_124785892.1	WP_152063613.1	WP_102338182.1		
N2.HOG0000086	OG0000027	n1		WP_152062691.1, WP_152063436.1			
N2.HOG0000087	OG0000027	n3	WP_241154650.1, WP_233504193.1, WP_124786094.1, WP_164473292.1	WP_152063844.1			
N2.HOG0000088	OG0000028	n1	WP_124786583.1	WP_152063529.1	WP_102338291.1		
N2.HOG0000089	OG0000028	n5	WP_124786325.1	WP_006722396.1	WP_102337624.1		
N2.HOG0000090	OG0000029	n1	WP_195363938.1	WP_182281919.1	WP_199824820.1		
